"","x"
"1","|   RMSE| Rsquared|    MAE|model  |"
"2","|------:|--------:|------:|:------|"
"3","| 0.1174|   0.8176| 0.0750|full   |"
"4","| 0.2593|   0.1080| 0.2185|1      |"
"5","| 0.1181|   0.8159| 0.0761|2      |"
"6","| 0.2365|   0.3063| 0.1855|3      |"
"7","| 0.2576|   0.1182| 0.2193|4      |"
"8","| 0.1188|   0.8137| 0.0749|H1H2   |"
"9","| 0.1948|   0.4960| 0.1524|H1H3   |"
"10","| 0.2282|   0.3058| 0.1851|H1H4   |"
"11","| 0.1166|   0.8205| 0.0749|H2H3   |"
"12","| 0.1170|   0.8192| 0.0755|H2H4   |"
"13","| 0.2224|   0.3581| 0.1779|H3H4   |"
"14","| 0.1171|   0.8183| 0.0743|H1H2H3 |"
"15","| 0.1185|   0.8146| 0.0747|H1H2H4 |"
"16","| 0.1936|   0.5022| 0.1508|H1H3H4 |"
"17","| 0.1171|   0.8183| 0.0743|H2H3H4 |"
