"","x"
"1","|   RMSE| Rsquared|    MAE|model  |subset |"
"2","|------:|--------:|------:|:------|:------|"
"3","| 0.1248|   0.7970| 0.0806|full   |J2     |"
"4","| 0.2595|   0.1364| 0.2206|1      |J2     |"
"5","| 0.1299|   0.7807| 0.0844|2      |J2     |"
"6","| 0.2229|   0.3726| 0.1748|3      |J2     |"
"7","| 0.2604|   0.1175| 0.2206|4      |J2     |"
"8","| 0.1259|   0.7932| 0.0819|H1H2   |J2     |"
"9","| 0.1929|   0.5210| 0.1594|H1H3   |J2     |"
"10","| 0.2310|   0.3052| 0.1903|H1H4   |J2     |"
"11","| 0.1280|   0.7869| 0.0820|H2H3   |J2     |"
"12","| 0.1300|   0.7802| 0.0841|H2H4   |J2     |"
"13","| 0.2112|   0.4193| 0.1717|H3H4   |J2     |"
"14","| 0.1247|   0.7974| 0.0807|H1H2H3 |J2     |"
"15","| 0.1257|   0.7938| 0.0819|H1H2H4 |J2     |"
"16","| 0.1898|   0.5354| 0.1549|H1H3H4 |J2     |"
"17","| 0.1247|   0.7974| 0.0807|H2H3H4 |J2     |"
