"","x"
"1","|   RMSE| Rsquared|    MAE|model  |subset     |"
"2","|------:|--------:|------:|:------|:----------|"
"3","| 0.5129|   0.0895| 0.2932|full   |log_R2_1_4 |"
"4","| 0.5206|   0.0535| 0.3033|1      |log_R2_1_4 |"
"5","| 0.5373|   0.0350| 0.3153|2      |log_R2_1_4 |"
"6","| 0.5661|   0.0127| 0.3546|3      |log_R2_1_4 |"
"7","| 0.5387|   0.0011| 0.3314|4      |log_R2_1_4 |"
"8","| 0.5132|   0.0884| 0.2916|H1H2   |log_R2_1_4 |"
"9","| 0.5196|   0.0733| 0.3027|H1H3   |log_R2_1_4 |"
"10","| 0.5198|   0.0742| 0.3053|H1H4   |log_R2_1_4 |"
"11","| 0.5390|   0.0350| 0.3180|H2H3   |log_R2_1_4 |"
"12","| 0.5363|   0.0346| 0.3146|H2H4   |log_R2_1_4 |"
"13","| 0.5336|   0.0148| 0.3273|H3H4   |log_R2_1_4 |"
"14","| 0.5131|   0.0873| 0.2919|H1H2H3 |log_R2_1_4 |"
"15","| 0.5140|   0.0868| 0.2928|H1H2H4 |log_R2_1_4 |"
"16","| 0.5224|   0.0654| 0.3082|H1H3H4 |log_R2_1_4 |"
"17","| 0.5131|   0.0873| 0.2919|H2H3H4 |log_R2_1_4 |"
